S. No.,Message_body,Label,sender,receivers,month,to_L,to_T
261,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Non-Spam,B8559,B0193,1,0,0
262,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Non-Spam,B8565,B0216,1,0,0
263,What you did in  leave.,Non-Spam,B8594,B0226,1,0,0
264,Ill be at yours in about 3 mins but look out for me,Non-Spam,B8704,B0365,1,0,0
265,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,Non-Spam,B8723,B0446,1,0,0
266,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Non-Spam,B8748,B0518,1,0,0
267,"I can. But it will tell quite long, cos i haven't finish my film yet...",Non-Spam,B8771,B0578,1,0,0
268,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,Non-Spam,B8890,B0585,1,0,0
269,At WHAT TIME should i come tomorrow,Non-Spam,B8896,B0587,1,0,0
270,I can't make it tonight,Non-Spam,B8936,B0693,1,0,0
271,Well good morning mr . Hows london treatin' ya treacle?,Non-Spam,B0004,B0703,1,0,0
272,I.ll hand her my phone to chat wit u,Non-Spam,B0071,B0733,1,0,0
273,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Non-Spam,B0078,B0786,1,0,0
274,Are u coming to the funeral home,Non-Spam,B0082,B0847,1,0,0
275,Alex says he's not ok with you not being ok with it,Non-Spam,B0115,B0875,1,0,0
276,XMAS iscoming & ur awarded either �500 CD gift vouchers & free entry 2 r �100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,Spam,B0153,B0881,1,0,0
277,I donno its in your genes or something,Non-Spam,B0182,B0886,1,0,0
278,Urgent! Please call 09061213237 from landline. �5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam,B0193,B0899,1,0,0
279,Xy trying smth now. U eat already? We havent...,Non-Spam,B0216,B0929,1,0,0
280,Dear where you. Call me,Non-Spam,B0226,B1028,1,0,0
281,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,Non-Spam,B0365,B1035,1,0,0
282,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Non-Spam,B0446,B1115,1,0,0
283,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Non-Spam,B0518,B1141,1,0,0
284,I'm still pretty weak today .. Bad day ?,Non-Spam,B0578,B1144,1,0,0
285,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Spam,B0585,B1147,1,0,0
286,Sent me ur email id soon,Non-Spam,B0587,B1199,1,0,0
287,"Yeah, probably here for a while",Non-Spam,B0693,B1221,1,0,0
288,I have gone into get info bt dont know what to do,Non-Spam,B0703,B1231,1,0,0
289,"And how you will do that, princess? :)",Non-Spam,B0733,B1258,1,0,0
290,"Vikky, come around  &lt;TIME&gt; ..",Non-Spam,B0786,B1306,1,0,0
291,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",Non-Spam,B0847,B1338,1,0,0
292,URGENT! Your Mobile number has been awarded with a �2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam,B0875,B1371,1,0,0
293,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Non-Spam,B0881,B1389,1,0,0
294,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,Non-Spam,B0886,B1399,1,0,0
295,Oh yeah clearly it's my fault,Non-Spam,B0899,B1404,1,0,0
296,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",Non-Spam,B0929,B1455,1,0,0
297,Its too late:)but its k.wish you the same.,Non-Spam,B1028,B1457,1,0,0
298,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Non-Spam,B1035,B1514,1,0,0
299,So u wan 2 come for our dinner tonight a not?,Non-Spam,B1115,B1575,1,0,0
300,Did u fix the teeth?if not do it asap.ok take care.,Non-Spam,B1141,B1584,1,0,0
301,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",Spam,B1144,B1588,1,0,0
302,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",Non-Spam,B1147,B1653,1,0,0
303,Anything lar then � not going home 4 dinner?,Non-Spam,B1199,B1654,1,0,0
304,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Non-Spam,B1221,B1717,1,0,0
305,Gud ni8.swt drms.take care,Non-Spam,B1231,B1751,1,0,0
306,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",Non-Spam,B1258,B1776,1,0,0
307,Pls speak with me. I wont ask anything other then you friendship.,Non-Spam,B1306,B1785,1,0,0
308,Did you see that film:),Non-Spam,B1338,B1806,1,0,0
309,I absolutely LOVE South Park! I only recently started watching the office.,Non-Spam,B1371,B1817,1,0,0
310,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Non-Spam,B1389,B1845,1,0,0
311,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Non-Spam,B1399,B1874,1,0,0
312,1 in cbe. 2 in chennai.,Non-Spam,B1404,B1875,1,0,0
313,"As usual..iam fine, happy &amp; doing well..:)",Non-Spam,B1455,B1878,1,0,0
314,Well she's in for a big surprise!,Non-Spam,B1457,B1921,1,0,0
315,Ok... Sweet dreams...,Non-Spam,B1514,B1971,1,0,0
316,I didnt get anything da,Non-Spam,B1575,B2006,1,0,0
317,Please tell me not all of my car keys are in your purse,Non-Spam,B1584,B2009,1,0,0
318,You do your studies alone without anyones help. If you cant no need to study.,Non-Spam,B1588,B2102,1,0,0
319,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Non-Spam,B1653,B2193,1,0,0
320,Urgent! Please call 09061213237 from a landline. �5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Spam,B1654,B2209,1,0,0
321,"K I'm leaving soon, be there a little after 9",Non-Spam,B1717,B2235,1,0,0
322,U come n search tat vid..not finishd..,Non-Spam,B1751,B2280,1,0,0
323,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam,B1776,B2299,1,0,0
324,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Non-Spam,B1785,B2320,1,0,0
325,Thank you princess! I want to see your nice juicy booty...,Non-Spam,B1806,B2332,1,0,0
326,thanks for the temales it was wonderful. Thank. Have a great week.,Non-Spam,B1817,B2353,1,0,0
327,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Non-Spam,B1845,B2373,1,0,0
328,Hmm thinking lor...,Non-Spam,B1874,B2379,1,0,0
329,Its a part of checking IQ,Non-Spam,B1875,B2385,1,0,0
330,"Gud gud..k, chikku tke care.. sleep well gud nyt",Non-Spam,B1878,B2474,1,0,0
331,"Jay wants to work out first, how's 4 sound?",Non-Spam,B1921,B2499,1,0,0
332,Yeah I can still give you a ride,Non-Spam,B1971,B2532,1,0,0
333,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam,B2006,B2570,1,0,0
334,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Non-Spam,B2009,B2624,1,0,0
335,Ok cool. See ya then.,Non-Spam,B2102,B2661,1,0,0
336,Hey what how about your project. Started aha da.,Non-Spam,B2193,B2667,1,0,0
337,YOU ARE CHOSEN TO RECEIVE A �350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam,B2209,B2708,1,0,0
338,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,Non-Spam,B2235,B2742,1,0,0
339,"Nope, I'm still in the market",Non-Spam,B2280,B2754,1,0,0
340,It means u could not keep ur words.,Non-Spam,B2299,B2765,1,0,0
341,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam,B2320,B2771,1,0,0
342,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam,B2332,B2786,1,0,0
343,Prabha..i'm soryda..realy..frm heart i'm sory,Non-Spam,B2353,B2805,1,0,0
344,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Non-Spam,B2373,B2819,1,0,0
345,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,Non-Spam,B2379,B2825,1,0,0
346,If I die I want u to have all my stuffs.,Non-Spam,B2385,B2834,1,0,0
347,5 nights...We nt staying at port step liao...Too ex,Non-Spam,B2474,B2859,1,0,0
348,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Non-Spam,B2499,B2966,1,0,0
349,I have to take exam with in march 3,Non-Spam,B2532,B3005,1,0,0
350,Pls she needs to dat slowly or she will vomit more.,Non-Spam,B2570,B3063,1,0,0
351,I accidentally brought em home in the box,Non-Spam,B2624,B3098,1,0,0
352,Well thats nice. Too bad i cant eat it,Non-Spam,B2661,B3151,1,0,0
353,I am late. I will be there at,Non-Spam,B2667,B3164,1,0,0
354,I keep ten rs in my shelf:) buy two egg.,Non-Spam,B2708,B3256,1,0,0
355,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Spam,B2742,B3325,1,0,0
356,3 pa but not selected.,Non-Spam,B2754,B3333,1,0,0
357,K.k.how is your business now?,Non-Spam,B2765,B3447,1,0,0
358,It is only yesterday true true.,Non-Spam,B2771,B3481,1,0,0
359,Dai i downloaded but there is only exe file which i can only run that exe after installing.,Non-Spam,B2786,B3532,1,0,0
360,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam,B2805,B3590,1,0,0
361,Hi.what you think about match?,Non-Spam,B2819,B3599,1,0,0
362,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",Non-Spam,B2825,B3646,1,0,0
363,I will reach ur home in  &lt;#&gt;  minutes,Non-Spam,B2834,B3753,1,0,0
364,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam,B2859,B3763,1,0,0
365,How come she can get it? Should b quite diff to guess rite...,Non-Spam,B2966,B3830,1,0,0
366,Me fine..absolutly fine,Non-Spam,B3005,B3953,1,0,0
367,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Non-Spam,B3063,B3961,1,0,0
368,"YOU VE WON! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins",Spam,B3098,B4025,1,0,0
369,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Spam,B3151,B4027,1,0,0
370,Ugh my leg hurts. Musta overdid it on mon.,Non-Spam,B3164,B4057,1,0,0
371,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,Non-Spam,B3256,B4089,1,0,0
372,I like cheap! But i�m happy to splash out on the wine if it makes you feel better..,Non-Spam,B3325,B4097,1,0,0
373,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",Spam,B3333,B4104,1,0,0
374,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Non-Spam,B3447,B4106,1,0,0
375,Ok... Take ur time n enjoy ur dinner...,Non-Spam,B3481,B4132,1,0,0
376,"It's wylie, you in tampa or sarasota?",Non-Spam,B3532,B4144,1,0,0
377,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Non-Spam,B3590,B4179,1,0,0
378,"Sorry, I'll call later",Non-Spam,B3599,B4213,1,0,0
379,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,Spam,B3646,B4228,1,0,0
380,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Spam,B3753,B8565,1,0,0
381,Okie,Non-Spam,B3763,B8594,1,0,0
382,WHAT TIME U WRKIN?,Non-Spam,B3830,B8704,1,0,0
383,I uploaded mine to Facebook,Non-Spam,B3953,B8723,1,0,0
384,I just cooked a rather nice salmon a la you,Non-Spam,B3961,B8748,1,0,0
385,I'm in town now so i'll jus take mrt down later.,Non-Spam,B4025,B8771,1,0,0
386,"Fuuuuck I need to stop sleepin, sup",Non-Spam,B4027,B8890,1,0,0
387,I sent them. Do you like?,Non-Spam,B4057,B8896,1,0,0
388,K sure am in my relatives home. Sms me de. Pls:-),Non-Spam,B4089,B8936,1,0,0
389,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Non-Spam,B4097,B8943,1,0,0
390,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Non-Spam,B4104,B8954,1,0,0
391,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,Spam,B4106,B9024,1,0,0
392,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Non-Spam,B4132,B9111,1,0,0
393,Company is very good.environment is terrific and food is really nice:),Non-Spam,B4144,B9122,1,0,0
394,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Non-Spam,B4179,B9137,1,0,0
395,Water logging in desert. Geoenvironmental implications.,Non-Spam,B4213,B9157,1,0,0
396,U 2.,Non-Spam,B4228,B9184,1,0,0
397,"Aight, text me tonight and we'll see what's up",Non-Spam,B4265,B9252,1,0,0
398,Oh k. . I will come tomorrow,Non-Spam,B4270,B9258,1,0,0
399,I'm in school now n i'll be in da lab doing some stuff give me a call when � r done.,Non-Spam,B4406,B9318,1,0,0
400,Now i'm going for lunch.,Non-Spam,B4427,B9328,1,0,0
401,"I�ve got some salt, you can rub it in my open wounds if you like!",Non-Spam,B4439,B9344,1,0,0
402,Oh did you charge camera,Non-Spam,B4440,B9490,1,0,0
403,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Non-Spam,B4445,B9502,1,0,0
404,� still got lessons?  � in sch?,Non-Spam,B4462,B9584,1,0,0
405,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",Spam,B4469,B9586,1,0,0
406,Ok leave no need to ask,Non-Spam,B4492,B9607,1,0,0
407,Just send a text. We'll skype later.,Non-Spam,B4505,B9624,1,0,0
408,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Non-Spam,B4509,B9692,1,0,0
409,Ok... Then r we meeting later?,Non-Spam,B4540,B9705,1,0,0
410,No but the bluray player can,Non-Spam,B4631,B9710,1,0,0
411,I will come with karnan car. Please wait till 6pm will directly goto doctor.,Non-Spam,B4674,B9726,1,0,0
412,K k:) sms chat with me.,Non-Spam,B4723,B9801,1,0,0
413,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Non-Spam,B4852,L0039,1,0,0
414,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Non-Spam,B4866,L0080,1,0,0
415,"Like  &lt;#&gt; , same question",Non-Spam,B4921,L0105,1,0,0
416,Haven't left yet so probably gonna be here til dinner,Non-Spam,B4980,L0125,1,0,0
417,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Non-Spam,B4998,L0132,1,0,0
418,No problem with the renewal. I.ll do it right away but i dont know his details.,Non-Spam,B5036,L0146,1,0,0
419,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Non-Spam,B5089,L0205,1,0,0
420,Pls call me da. What happen.,Non-Spam,B5141,L0235,1,0,0
421,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Non-Spam,B5145,L0240,1,0,0
422,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth �33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,B5181,L0242,1,0,0
423,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,Non-Spam,B5192,L0265,1,0,0
424,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Non-Spam,B5197,L0266,1,0,0
425,I'm in office now da:)where are you?,Non-Spam,B5261,L0310,1,0,0
426,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,Non-Spam,B5306,L0405,1,0,0
427,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Non-Spam,B5314,L0444,1,0,0
428,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,Spam,B5345,L0484,1,0,0
429,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Non-Spam,B5397,L0514,1,0,0
430,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Non-Spam,B5436,L0519,1,0,0
431,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Non-Spam,B5445,L0526,1,0,0
432,"YOU VE WON! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins",Spam,B5447,L0548,1,0,0
433,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Non-Spam,B5461,L0554,1,0,0
434,Sorry * was at the grocers.,Non-Spam,B5470,L0565,1,0,0
435,Sday only joined.so training we started today:),Non-Spam,B5471,L0590,1,0,0
436,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Non-Spam,B5482,L0641,1,0,0
437,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Non-Spam,B5523,L0689,1,0,0
438,That sucks. I'll go over so u can do my hair. You'll do it free right?,Non-Spam,B5575,L0714,1,0,0
439,Any way where are you and what doing.,Non-Spam,B5578,L0730,1,0,0
440,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Non-Spam,B5588,L0797,1,0,0
441,Wot about on wed nite I am 3 then but only til 9!,Non-Spam,B5651,L0801,1,0,0
442,Cuz ibored. And don wanna study,Non-Spam,B5749,L0845,1,0,0
443,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",Non-Spam,B5754,L0854,1,0,0
444,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Non-Spam,B5761,L0879,1,0,0
445,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Non-Spam,B5775,L0883,1,0,0
446,"Hi Chikku, send some nice msgs",Non-Spam,B5807,L0892,1,0,0
447,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,Non-Spam,B5810,L0935,1,0,0
448,"Oops I did have it,  &lt;#&gt; ?",Non-Spam,B5861,L0982,1,0,0
449,PRIVATE! Your 2003 Account Statement for 078,Spam,B5865,L1005,1,0,0
450,Lol for real. She told my dad I have cancer,Non-Spam,B5910,L1010,1,0,0
451,Are you driving or training?,Non-Spam,B5976,L1046,1,0,0
452,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Non-Spam,B5986,L1178,1,0,0
453,Thanks. Fills me with complete calm and reassurance! ,Non-Spam,B6063,L1273,1,0,0
454,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",Spam,B6064,L1285,1,0,0
455,Argh why the fuck is nobody in town ;_;,Non-Spam,B6095,L1309,1,0,0
456,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,Non-Spam,B6176,L1316,1,0,0
457,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,Spam,B6195,L1334,1,0,0
458,I've reached sch already...,Non-Spam,B6234,L1355,1,0,0
459,You have 1 new message. Please call 08715205273,Spam,B6276,L1418,1,0,0
460,Oh you got many responsibilities.,Non-Spam,B6290,L1431,1,0,0
461,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Non-Spam,B6292,L1481,1,0,0
462,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Non-Spam,B6340,L1489,1,0,0
463,Ding me on ya break fassyole! Blacko from londn,Non-Spam,B6348,L1531,1,0,0
464,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Non-Spam,B6351,L1568,1,0,0
465,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Non-Spam,B6431,L1627,1,0,0
466,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Non-Spam,B6465,L1632,1,0,0
467,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam,B6483,L1640,1,0,0
468,Nope thats fine. I might have a nap tho! ,Non-Spam,B6539,L1652,1,0,0
469,"Aight, call me once you're close",Non-Spam,B6564,L1670,1,0,0
470,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Non-Spam,B6574,L1730,1,0,0
471,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",Spam,B6623,L1746,1,0,0
472,Sorry about that this is my mates phone and i didnt write it love Kate,Non-Spam,B6628,L1781,1,0,0
473,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Non-Spam,B6655,L1837,1,0,0
474,K.k.this month kotees birthday know?,Non-Spam,B6682,L1892,1,0,0
475,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Non-Spam,B6735,L1906,1,0,0
476,Gokila is talking with you aha:),Non-Spam,B6774,L1917,1,0,0
477,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Non-Spam,B6842,L1989,1,0,0
478,No no. I will check all rooms befor activities,Non-Spam,B6895,L2125,1,0,0
479,"St andre, virgil's cream",Non-Spam,B6908,L2139,1,0,0
480,What type of stuff do you sing?,Non-Spam,B6917,L2187,1,0,0
481,I wont do anything de.,Non-Spam,B6919,L2203,1,0,0
482,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Non-Spam,B6932,L2204,1,0,0
483,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Non-Spam,B6946,L2213,1,0,0
484,Sorry i missed your call. Can you please call back.,Non-Spam,B6963,L2241,1,0,0
485,Hey happy birthday...,Non-Spam,B7050,L2277,1,0,0
486,Aiya we discuss later lar... Pick � up at 4 is it?,Non-Spam,B7065,L2293,1,0,0
487,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Non-Spam,B7096,L2355,1,0,0
488,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS � FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,I�L CALL U""",Non-Spam,B7144,L2397,1,0,0
489,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,Non-Spam,B7149,L2402,1,0,0
490,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Spam,B7157,L2446,1,0,0
491,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Non-Spam,B7194,L2451,1,0,0
492,"Well, i'm glad you didn't find it totally disagreeable ... Lol",Non-Spam,B7196,L2547,1,0,0
493,"This is the 2nd attempt to contract U, you have won this weeks top prize of either �1000 cash or �200 prize. Just call 09066361921",Spam,B7201,L2591,1,0,0
494,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Non-Spam,B7202,L2604,1,0,0
495,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam,B7329,L2605,1,0,0
496,WIN a �200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 �1.50perweeksub.,Spam,B7366,L2679,1,0,0
497,As in different styles?,Non-Spam,B7369,L2761,1,0,0
498,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,Spam,B7514,L2762,1,0,0
499,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Non-Spam,B7516,L2775,1,0,0
500,Talk to g and x about that,Non-Spam,B7517,L2787,1,0,0
501,83039 62735=�450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,Spam,B7648,L2799,1,0,0
